text,candidate,source,channel
यत्तिको मान्छेले चुनाब जितेन भने नेपाल कहिले बन्दैन,mina kharel,yt:Mina Kharel,comment
🙏🙏,mina kharel,yt:Mina Kharel,comment
❤,mina kharel,yt:Mina Kharel,comment
जय नेपाल❤❤,mina kharel,yt:Mina Kharel,comment
वहाँ अति राम्रेा व्यक्ति तर पार्टी नै खराब,mina kharel,yt:Mina Kharel,comment
Good luck ♥️ 👍,mina kharel,yt:Mina Kharel,comment
Let Thug go and break politics of hatred.,mina kharel,yt:Mina Kharel,comment
Good❤,mina kharel,yt:Mina Kharel,comment
"सबै कुरा थाहा पाउदा त दिदि महान रहिछ्न ! ! उहा सङग त रबि को तुलना नै गर्न नमिल्ने रहेछ नि  ! ! 
Great DD🙏🏻🙏🏻",mina kharel,yt:Mina Kharel,comment
निर्भिक र सालिन ब्याक्तित्व समाजसेवी ब्याक्तित्व मिना खरेल दिदि लाइ भोट दिन जरुरी छ।सम्पुर्ण चितवन बासि दाजुभाइ दिदिबहिनी हरु यो अन्तरबार्ता हेर्नुहोला।,mina kharel,yt:Mina Kharel,comment
best of luck❤😊,mina kharel,yt:Mina Kharel,comment
उहाको कामको लागी सम्मान छ तर अहीलेको समयमा रबी नै जीताउनु पर्छ।पाटीको हीसाबले  ३० बर्स नगरेकाले अब के आसा अनि अहीले बहुमत आउदैन  जीतनु कुनै अर्थ लाग्दैन  । माफ गर्नु होला🙏 अब नयाको परीक्षा लिनु पर्छ  लिनु छ जय 🛎️ जय देस,mina kharel,yt:Mina Kharel,comment
"दिदिको चरित्र रविको मात्रै होइन समकालीन धेरै नेता भन्दा माथी रहेछ! जित हार जे होस् , दिदिलाइ शुभकामना छ 🙏",mina kharel,yt:Mina Kharel,comment
Didi lai jitau hai sabai milera..balla politics of value huncha,mina kharel,yt:Mina Kharel,comment
चितवनको 2 चुनाव को सम्मान पाउने र बदनाम उपनाम पाउनेको बीचमा सहकारी दाइ भन्दा खातेको दिदी को जितको लागि अग्रिम शुभकामना मिना दिदी लाई,mina kharel,yt:Mina Kharel,comment
